"1"	"2"	"3"	"4"	"5"	"6"
"1"	2.10895111785586	2.0904148340125	1.63445236841223	1.55515420273921	0.529875139041442	2.29887651227446
"10"	0.106587676118471	0	0	0	0	0
"100"	0.916292228773014	0.85856932691828	0.238683626617205	5.51861492524906	1.3108936783412	0.839278332148358
"1000"	0.831648377011554	2.76415943730936	0.122623513070945	1.44676045314371	3.31123009719161	2.12714746163638
"10000"	0.0764887451017712	0.044793904401267	0.224149968927805	0.0142183307778931	0.153884024970785	0.0175149762273707
"100008586"	0	0	0	0	0	0
"100009676"	2.77323215504361	3.66156379974883	1.77315185549463	1.0497663271316	2.43461773127269	2.12448357123416
"10001"	19.5970412793778	21.4229198370281	19.7313373473039	15.811529935444	19.138398746515	15.5311363754314
"10002"	0.550101768410503	0.0702882904616391	0	0.371844553760289	0.268296550839693	0.0458059994603236
"10003"	0	0	0	0.0218361435649609	0.0262590103977343	0.0268990461265959
"100033413"	0	0	0	0	0	0
"100033414"	0	0.0667453421264617	0	0	0	0
"100033415"	0	0	0	0	0	0
"100033416"	0	0	0	0	0	0
"100033417"	0	0	0	0	0	0
"100033420"	0	0	0	0	0	0
"100033422"	0	0	0	0	0	0
"100033423"	0	0	0	0	0	0
"100033424"	0	0	0	0	0	0
"100033425"	0	0.111657742685807	0	0	0.106551841851587	0.218297861604632
"100033427"	0	0	0	0	0	0
"100033428"	0	0	0	0	0	0
"100033430"	0	0	0	0	0	0
"100033431"	0	0	0	0	0	0
"100033433"	0	0	0	0	0	0
"100033434"	0	0	0	0	0	0
"100033435"	0	0	0	0	0	0
"100033436"	0	0	0	0	0	0
"100033437"	0	0	0	0	0	0
"100033438"	0	0	0	0	0	0.118504553442515
"100033440"	0	0	0	0	0	0
"100033441"	0	0	0	0	0	0
"100033442"	0	0	0	0	0	0
"100033443"	0	0	0	0	0	0
"100033444"	0	0	0	0	0	0
"100033445"	0	0	0	0	0	0
"100033446"	0	0	0	0	0	0
"100033447"	0	0	0	0	0	0
"100033448"	0	0	0	0	0	0
"100033450"	0	0	0	0	0	0
"100033451"	0	0	0	0	0	0
"100033454"	0	0	0	0	0	0
"100033455"	0	0	0	0	0	0
"100033799"	0	0	0	0	0	0
"100033801"	0	0	0	0	0	0
"100033802"	0	0	0	0	0	0
"100033804"	0	0	0	0	0	0
"100033805"	0	0	0	0	0	0
"100033806"	0	0	0	0	0	0
"100033807"	0	0	0	0	0	0
"100033809"	0	0	0	0	0	0
"100033811"	0	0	0	0	0	0
"100033812"	0	0	0	0	0	0
"100033813"	0	0	0	0	0	0
"100033814"	0	0	0	0	0	0
"100033815"	0	0	0	0	0	0
"100033818"	0	0	0	0	0	0
"100033819"	0	0	0	0	0	0
"100033820"	0	0	0	0	0	0
"100033821"	0	0	0	0	0	0
"100033822"	0	0	0	0	0	0
"100036519"	0.259621043527227	0.317303363341622	0.470457788327512	0.520373070674799	0.161489957801441	0.268817421406669
"100036563"	0	0	0	0	0	0
"100036564"	0	0	0	0	0	0
"100036565"	0	0	0	0	0	0
"100036566"	0	0	0	0	0	0
"100036567"	0	0	0	0	0	0
"100037417"	10.2169665836789	9.4124403935254	5.47935855746189	7.53300208952938	6.67894315841088	8.65047000205757
"100038246"	0.074588719154105	0	0.0971475334690644	0.277302779597537	0	0
"10004"	0	0	0	0	0	0
"100048912"	3.05237671209467	4.37609194955876	4.822793259685	2.77808883529883	9.15733065547984	2.32221613043483
"100049076"	2.44818280530572	2.82478960964229	2.05547266115952	3.39999267373248	2.24333246511171	2.77985241752223
"100049587"	0	0	0	0	0.237611111597103	0
"10005"	8.6861996020389	8.40484909565841	6.65152487086044	6.71828066286884	4.76156856453443	6.31692649149574
"10006"	17.2124136267044	20.6565049746137	17.6730813469027	22.3072167256605	29.8504307710939	20.3285836783956
"10007"	19.0413981474869	12.2408215161369	13.1928697155112	32.7773431303438	15.8986963480268	17.6002566411975
"100073347"	0	0	0	0	0	0
"10008"	0	0	0	0	0	0
"10009"	19.3608355527544	13.0145918611334	19.6223018364911	17.1570169323984	20.5612352927919	22.8781173523718
"100093630"	225.758122109062	152.569572527668	168.063349589039	138.269706489856	74.4186293704836	94.0962528913783
"100093631"	14.1521536053691	17.3395432426961	17.7666921887401	17.1012780846038	19.8402071253952	19.5005082367904
"100093698"	0	0	0	0	0	0
"1001"	17.2843657423727	34.759608886526	27.1510998182588	10.0080622447639	61.2619764888544	70.1522845303566
"10010"	18.7568747185371	23.0112022831114	20.5147299327881	12.5609727253037	10.804767456075	9.25096788072873
"100101116"	0	0	0	0	0	0
"100101120"	0	0	0	0	0	0
"100101266"	0	0	0	0	0	0
"100101267"	4.32255271775933	6.28590538827691	4.15273125614758	7.71687982113549	7.42393461037407	9.1337023271448
"100101467"	2.87190045408506	2.66141049450298	1.23312718967252	1.5487559738925	0.649036781278531	1.04064475212784
