rxns_subSystems1	rxns_subSystems2
EX_2hb[e]	Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Tyrosine metabolism * Tryptophan metabolism * Transport, endoplasmic reticular * Transport, extracellular * Transport, extracellular * Transport, extracellular
EX_2mcit[e]	Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Tyrosine metabolism * Transport, lysosomal * Heme synthesis * Tryptophan metabolism * Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Transport, extracellular
EX_34dhoxpeg[e]	Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Transport, nuclear * Valine, leucine, and isoleucine metabolism * Transport, lysosomal * Tryptophan metabolism * Transport, lysosomal * Transport, lysosomal * Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Transport, extracellular * Transport, extracellular * Transport, extracellular
EX_34dhphe[e]	Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Transport, nuclear * Valine, leucine, and isoleucine metabolism * Transport, lysosomal * Tryptophan metabolism * Transport, mitochondrial * Tryptophan metabolism * Transport, extracellular * Transport, extracellular * Transport, extracellular * Transport, extracellular
EX_35cgmp[e]	Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Transport, nuclear * Transport, mitochondrial * Heme synthesis * Transport, extracellular * Transport, lysosomal * Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Transport, extracellular
EX_3aib[e]	Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Transport, nuclear * Transport, extracellular * Tryptophan metabolism * Transport, endoplasmic reticular * Transport, extracellular * Transport, extracellular * Transport, extracellular
EX_3aib_D[e]	Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Transport, nuclear * Transport, extracellular * Tryptophan metabolism * Transport, endoplasmic reticular * Transport, extracellular * Tyrosine metabolism * Transport, extracellular * Transport, extracellular * Transport, extracellular
EX_3mlda[e]	Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Transport, nuclear * Transport, lysosomal * Transport, extracellular * Transport, lysosomal * Transport, extracellular * Transport, extracellular * Transport, extracellular * Transport, extracellular
EX_4hdebrisoquine[e]	Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Valine, leucine, and isoleucine metabolism * Tryptophan metabolism * Transport, lysosomal * Transport, extracellular * Transport, endoplasmic reticular * Transport, endoplasmic reticular * Tryptophan metabolism * Transport, lysosomal * Transport, lysosomal * Transport, extracellular * Transport, endoplasmic reticular * Tryptophan metabolism * Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Transport, extracellular * Transport, extracellular
EX_4hphac[e]	Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Valine, leucine, and isoleucine metabolism * Tryptophan metabolism * Transport, mitochondrial * Tryptophan metabolism * Transport, extracellular * Heme synthesis * Transport, extracellular * Transport, extracellular * Transport, extracellular
EX_4mptnl[e]	Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Valine, leucine, and isoleucine metabolism * Transport, lysosomal * Transport, mitochondrial * Transport, mitochondrial * Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Transport, extracellular * Transport, extracellular
EX_4mtolbutamide[e]	Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Valine, leucine, and isoleucine metabolism * Transport, lysosomal * Transport, mitochondrial * Transport, lysosomal * Transport, extracellular * Transport, endoplasmic reticular * Transport, endoplasmic reticular * Transport, mitochondrial * Transport, extracellular * Transport, lysosomal * Tryptophan metabolism * Transport, lysosomal * Transport, extracellular * Transport, extracellular * Transport, extracellular * Transport, extracellular
EX_4nph[e]	Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Valine, leucine, and isoleucine metabolism * Transport, mitochondrial * Transport, mitochondrial * Tryptophan metabolism * Transport, extracellular * Transport, extracellular * Transport, extracellular
EX_4nphsf[e]	Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Valine, leucine, and isoleucine metabolism * Transport, mitochondrial * Transport, mitochondrial * Tryptophan metabolism * Transport, lysosomal * Tryptophan metabolism * Transport, extracellular * Transport, extracellular * Transport, extracellular
EX_4pyrdx[e]	Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Valine, leucine, and isoleucine metabolism * Transport, mitochondrial * Transport, mitochondrial * Transport, endoplasmic reticular * Transport, lysosomal * Transport, lysosomal * Transport, extracellular * Transport, extracellular * Transport, extracellular
EX_5adtststerone[e]	Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Transport, mitochondrial * Transport, extracellular * Transport, lysosomal * Transport, mitochondrial * Transport, lysosomal * Transport, mitochondrial * Transport, lysosomal * Transport, mitochondrial * Transport, extracellular * Transport, endoplasmic reticular * Transport, lysosomal * Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Transport, extracellular * Transport, extracellular
EX_5adtststeroneglc[e]	Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Transport, mitochondrial * Transport, extracellular * Transport, lysosomal * Transport, mitochondrial * Transport, lysosomal * Transport, mitochondrial * Transport, lysosomal * Transport, mitochondrial * Transport, extracellular * Transport, endoplasmic reticular * Transport, lysosomal * Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Transport, extracellular * Heme synthesis * Transport, extracellular * Transport, extracellular * Transport, extracellular
EX_5adtststerones[e]	Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Transport, mitochondrial * Transport, extracellular * Transport, lysosomal * Transport, mitochondrial * Transport, lysosomal * Transport, mitochondrial * Transport, lysosomal * Transport, mitochondrial * Transport, extracellular * Transport, endoplasmic reticular * Transport, lysosomal * Transport, mitochondrial * Transport, extracellular * Transport, lysosomal * Transport, extracellular * Transport, extracellular * Transport, extracellular
EX_5dhf[e]	Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Transport, mitochondrial * Transport, lysosomal * Tryptophan metabolism * Tryptophan metabolism * Transport, extracellular * Transport, extracellular * Transport, extracellular
EX_5fthf[e]	Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Transport, mitochondrial * Tryptophan metabolism * Transport, mitochondrial * Tryptophan metabolism * Tryptophan metabolism * Transport, extracellular * Transport, extracellular * Transport, extracellular
EX_5homeprazole[e]	Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Transport, mitochondrial * Tryptophan metabolism * Transport, lysosomal * Transport, lysosomal * Transport, extracellular * Transport, mitochondrial * Transport, endoplasmic reticular * Transport, extracellular * N-glycan degradation * Transport, lysosomal * Transport, extracellular * Transport, extracellular * Transport, extracellular * Transport, extracellular * Transport, extracellular
EX_5htrp[e]	Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Transport, mitochondrial * Tryptophan metabolism * Transport, mitochondrial * Transport, endoplasmic reticular * Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Transport, extracellular
EX_5mthf[e]	Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Transport, mitochondrial * Transport, lysosomal * Transport, mitochondrial * Tryptophan metabolism * Tryptophan metabolism * Transport, extracellular * Transport, extracellular * Transport, extracellular
EX_5thf[e]	Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Transport, mitochondrial * Transport, mitochondrial * Tryptophan metabolism * Tryptophan metabolism * Transport, extracellular * Transport, extracellular * Transport, extracellular
EX_6dhf[e]	Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Ubiquinone synthesis * Transport, lysosomal * Tryptophan metabolism * Tryptophan metabolism * Transport, extracellular * Transport, extracellular * Transport, extracellular
EX_6htststerone[e]	Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Ubiquinone synthesis * Tryptophan metabolism * Transport, mitochondrial * Transport, lysosomal * Transport, mitochondrial * Transport, lysosomal * Transport, mitochondrial * Transport, extracellular * Transport, endoplasmic reticular * Transport, lysosomal * Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Transport, extracellular * Transport, extracellular
EX_6thf[e]	Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Ubiquinone synthesis * Transport, mitochondrial * Tryptophan metabolism * Tryptophan metabolism * Transport, extracellular * Transport, extracellular * Transport, extracellular
EX_7dhf[e]	Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Ubiquinone synthesis * Transport, lysosomal * Tryptophan metabolism * Tryptophan metabolism * Transport, extracellular * Transport, extracellular * Transport, extracellular
EX_7thf[e]	Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Ubiquinone synthesis * Transport, mitochondrial * Tryptophan metabolism * Tryptophan metabolism * Transport, extracellular * Transport, extracellular * Transport, extracellular
EX_9_cis_retfa[e]	Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Tryptophan metabolism * Transport, extracellular * Heme synthesis * Tryptophan metabolism * Transport, lysosomal * Transport, extracellular * Transport, endoplasmic reticular * Transport, extracellular * Transport, mitochondrial * Tryptophan metabolism * Transport, extracellular * Transport, extracellular * Transport, extracellular * Transport, extracellular
EX_abt[e]	Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Transport, extracellular * Transport, endoplasmic reticular * Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Transport, extracellular
EX_acetone[e]	Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Transport, extracellular * Heme synthesis * Transport, extracellular * Transport, mitochondrial * Transport, lysosomal * Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Transport, extracellular * Transport, extracellular
EX_acgalfucgalacgalfuc12gal14acglcgalgluside_hs[e]	Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Transport, extracellular * Heme synthesis * Transport, extracellular * Transport, extracellular * Transport, extracellular * Tryptophan metabolism * Transport, endoplasmic reticular * Heme synthesis * Transport, extracellular * Transport, extracellular * Transport, extracellular * Transport, extracellular * Heme synthesis * Transport, extracellular * Transport, extracellular * Transport, extracellular * Tryptophan metabolism * Transport, endoplasmic reticular * Heme synthesis * Ubiquinone synthesis * Tyrosine metabolism * Transport, extracellular * Transport, extracellular * Transport, extracellular * Ubiquinone synthesis * Valine, leucine, and isoleucine metabolism * Transport, extracellular * Heme synthesis * Transport, extracellular * Transport, extracellular * Heme synthesis * Transport, extracellular * Transport, extracellular * Transport, extracellular * Transport, extracellular * Transport, extracellular * Transport, endoplasmic reticular * Transport, lysosomal * Tryptophan metabolism * Transport, lysosomal * Transport, extracellular * Transport, extracellular * Tryptophan metabolism * Transport, lysosomal * Transport, extracellular * Transport, extracellular * Transport, extracellular
EX_acgalfucgalacgalfucgalacglcgal14acglcgalgluside_hs[e]	Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Transport, extracellular * Heme synthesis * Transport, extracellular * Transport, extracellular * Transport, extracellular * Tryptophan metabolism * Transport, endoplasmic reticular * Heme synthesis * Transport, extracellular * Transport, extracellular * Transport, extracellular * Transport, extracellular * Heme synthesis * Transport, extracellular * Transport, extracellular * Transport, extracellular * Tryptophan metabolism * Transport, endoplasmic reticular * Heme synthesis * Transport, extracellular * Transport, extracellular * Transport, extracellular * Transport, extracellular * Heme synthesis * Transport, extracellular * Transport, extracellular * Heme synthesis * Transport, extracellular * Transport, extracellular * Transport, extracellular * Ubiquinone synthesis * Valine, leucine, and isoleucine metabolism * Transport, extracellular * Heme synthesis * Transport, extracellular * Transport, extracellular * Heme synthesis * Transport, extracellular * Transport, extracellular * Transport, extracellular * Transport, extracellular * Transport, extracellular * Transport, endoplasmic reticular * Transport, lysosomal * Tryptophan metabolism * Transport, lysosomal * Transport, extracellular * Transport, extracellular * Tryptophan metabolism * Transport, lysosomal * Transport, extracellular * Transport, extracellular * Transport, extracellular
EX_ach[e]	Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Transport, extracellular * Heme synthesis * Tryptophan metabolism * Transport, extracellular * Transport, extracellular * Transport, extracellular
EX_acn13acngalgbside_hs[e]	Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Transport, extracellular * Heme synthesis * Transport, mitochondrial * Ubiquinone synthesis * Transport, nuclear * Transport, extracellular * Heme synthesis * Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Transport, extracellular * Transport, extracellular * Transport, endoplasmic reticular * Transport, lysosomal * Tryptophan metabolism * Transport, lysosomal * Transport, extracellular * Transport, extracellular * Tryptophan metabolism * Transport, lysosomal * Transport, extracellular * Transport, extracellular * Transport, extracellular
EX_acn23acngalgbside_hs[e]	Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Transport, extracellular * Heme synthesis * Transport, mitochondrial * Tyrosine metabolism * Transport, nuclear * Transport, extracellular * Heme synthesis * Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Transport, extracellular * Transport, extracellular * Transport, endoplasmic reticular * Transport, lysosomal * Tryptophan metabolism * Transport, lysosomal * Transport, extracellular * Transport, extracellular * Tryptophan metabolism * Transport, lysosomal * Transport, extracellular * Transport, extracellular * Transport, extracellular
EX_acnacngal14acglcgalgluside_hs[e]	Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Transport, extracellular * Heme synthesis * Transport, mitochondrial * Transport, extracellular * Heme synthesis * Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Transport, extracellular * Ubiquinone synthesis * Valine, leucine, and isoleucine metabolism * Transport, extracellular * Heme synthesis * Transport, extracellular * Transport, extracellular * Heme synthesis * Transport, extracellular * Transport, extracellular * Transport, extracellular * Transport, extracellular * Transport, extracellular * Transport, endoplasmic reticular * Transport, lysosomal * Tryptophan metabolism * Transport, lysosomal * Transport, extracellular * Transport, extracellular * Tryptophan metabolism * Transport, lysosomal * Transport, extracellular * Transport, extracellular * Transport, extracellular
EX_acnacngalgbside_hs[e]	Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Transport, extracellular * Heme synthesis * Transport, mitochondrial * Transport, extracellular * Heme synthesis * Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Transport, extracellular * Transport, extracellular * Transport, endoplasmic reticular * Transport, lysosomal * Tryptophan metabolism * Transport, lysosomal * Transport, extracellular * Transport, extracellular * Tryptophan metabolism * Transport, lysosomal * Transport, extracellular * Transport, extracellular * Transport, extracellular
EX_acngalacglcgal14acglcgalgluside_hs[e]	Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Transport, extracellular * Heme synthesis * Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Transport, extracellular * Transport, extracellular * Heme synthesis * Transport, extracellular * Transport, extracellular * Heme synthesis * Transport, extracellular * Transport, extracellular * Transport, extracellular * Ubiquinone synthesis * Valine, leucine, and isoleucine metabolism * Transport, extracellular * Heme synthesis * Transport, extracellular * Transport, extracellular * Heme synthesis * Transport, extracellular * Transport, extracellular * Transport, extracellular * Transport, extracellular * Transport, extracellular * Transport, endoplasmic reticular * Transport, lysosomal * Tryptophan metabolism * Transport, lysosomal * Transport, extracellular * Transport, extracellular * Tryptophan metabolism * Transport, lysosomal * Transport, extracellular * Transport, extracellular * Transport, extracellular
EX_adp[e]	Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Transport, extracellular * Transport, lysosomal * Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Transport, extracellular
EX_adprbp[e]	Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Transport, extracellular * Transport, lysosomal * Transport, mitochondrial * Transport, endoplasmic reticular * Transport, endoplasmic reticular * Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Transport, extracellular
EX_adrn[e]	Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Transport, extracellular * Transport, lysosomal * Transport, endoplasmic reticular * Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Transport, extracellular
EX_adrnl[e]	Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Transport, extracellular * Transport, lysosomal * Transport, endoplasmic reticular * Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Transport, extracellular * Transport, extracellular
EX_aflatoxin[e]	Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Transport, extracellular * Tryptophan metabolism * Transport, extracellular * Transport, extracellular * Transport, mitochondrial * Transport, lysosomal * Transport, lysosomal * Tryptophan metabolism * Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Transport, extracellular
EX_ahandrostanglc[e]	Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Transport, extracellular * Tryptophan metabolism * Transport, extracellular * Transport, mitochondrial * Transport, lysosomal * Transport, endoplasmic reticular * Transport, lysosomal * Transport, lysosomal * Transport, mitochondrial * Transport, extracellular * Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Heme synthesis * Transport, extracellular * Transport, extracellular * Transport, extracellular
EX_ak2lgchol_hs[e]	Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Transport, extracellular * Transport, extracellular * Tyrosine metabolism * Transport, extracellular * Transport, extracellular * Heme synthesis * Tryptophan metabolism * Transport, lysosomal * Transport, extracellular * Transport, extracellular * Tryptophan metabolism * Transport, lysosomal * Transport, extracellular * Transport, extracellular * Transport, extracellular
EX_ala_B[e]	Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Transport, extracellular * Transport, extracellular * Transport, extracellular * Transport, extracellular * Tyrosine metabolism * Transport, extracellular * Transport, extracellular * Transport, extracellular
EX_ala_D[e]	Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Transport, extracellular * Transport, extracellular * Transport, extracellular * Transport, extracellular * Tyrosine metabolism * Transport, extracellular * Transport, extracellular * Transport, extracellular
EX_aldstrn[e]	Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Transport, extracellular * Transport, extracellular * Transport, lysosomal * Transport, lysosomal * Transport, mitochondrial * Transport, endoplasmic reticular * Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Transport, extracellular
EX_amp[e]	Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Transport, extracellular * Transport, lysosomal * Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Transport, extracellular
EX_andrstrn[e]	Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Transport, extracellular * Transport, mitochondrial * Transport, lysosomal * Transport, endoplasmic reticular * Transport, lysosomal * Transport, mitochondrial * Transport, endoplasmic reticular * Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Transport, extracellular
EX_andrstrnglc[e]	Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Transport, extracellular * Transport, mitochondrial * Transport, lysosomal * Transport, endoplasmic reticular * Transport, lysosomal * Transport, mitochondrial * Transport, endoplasmic reticular * Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Heme synthesis * Transport, extracellular * Transport, extracellular * Transport, extracellular
EX_antipyrene[e]	Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Transport, extracellular * Transport, mitochondrial * Transport, mitochondrial * Tryptophan metabolism * Transport, mitochondrial * Transport, mitochondrial * Transport, endoplasmic reticular * Transport, extracellular * Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Transport, extracellular * Transport, extracellular
EX_apnnox[e]	Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Transport, extracellular * Transport, mitochondrial * Transport, mitochondrial * Transport, mitochondrial * Transport, lysosomal * Transport, lysosomal * Transport, extracellular * Transport, extracellular * Transport, extracellular
EX_appnn[e]	Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Transport, extracellular * Transport, mitochondrial * Transport, mitochondrial * Transport, mitochondrial * Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Transport, extracellular
EX_aprgstrn[e]	Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Transport, extracellular * Transport, mitochondrial * Transport, endoplasmic reticular * Transport, extracellular * Transport, lysosomal * Transport, mitochondrial * Transport, endoplasmic reticular * Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Transport, extracellular
EX_aqcobal[e]	Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Transport, extracellular * Transport, extracellular * Heme synthesis * Transport, lysosomal * Transport, endoplasmic reticular * Transport, extracellular * Transport, extracellular * Transport, extracellular * Transport, extracellular * Transport, extracellular
EX_arach[e]	Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Transport, extracellular * Transport, endoplasmic reticular * Transport, extracellular * Heme synthesis * Tryptophan metabolism * Transport, extracellular * Transport, extracellular * Transport, extracellular
EX_arachd[e]	Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Transport, extracellular * Transport, endoplasmic reticular * Transport, extracellular * Heme synthesis * Tryptophan metabolism * Transport, lysosomal * Transport, extracellular * Transport, extracellular * Transport, extracellular
EX_ascb_L[e]	Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Transport, extracellular * Transport, lysosomal * Heme synthesis * Transport, endoplasmic reticular * Transport, extracellular * Tyrosine metabolism * Transport, extracellular * Transport, extracellular * Transport, extracellular
EX_asp_D[e]	Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Transport, extracellular * Transport, lysosomal * Transport, mitochondrial * Transport, extracellular * Tyrosine metabolism * Transport, extracellular * Transport, extracellular * Transport, extracellular
EX_atp[e]	Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Transport, extracellular * Transport, mitochondrial * Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Transport, extracellular
EX_avite1[e]	Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Transport, extracellular * Transport, lysosomal * Tryptophan metabolism * Transport, mitochondrial * Transport, extracellular * Ubiquinone synthesis * Transport, extracellular * Transport, extracellular * Transport, extracellular
EX_avite2[e]	Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Transport, extracellular * Transport, lysosomal * Tryptophan metabolism * Transport, mitochondrial * Transport, extracellular * Tyrosine metabolism * Transport, extracellular * Transport, extracellular * Transport, extracellular
EX_bhb[e]	Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Transport, endoplasmic reticular * Tryptophan metabolism * Transport, endoplasmic reticular * Transport, extracellular * Transport, extracellular * Transport, extracellular
EX_bildglcur[e]	Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Transport, endoplasmic reticular * Tryptophan metabolism * Transport, extracellular * Transport, lysosomal * Transport, extracellular * Transport, extracellular * Heme synthesis * Transport, endoplasmic reticular * Transport, endoplasmic reticular * Transport, extracellular * Transport, extracellular * Transport, extracellular
EX_bilglcur[e]	Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Transport, endoplasmic reticular * Tryptophan metabolism * Transport, extracellular * Transport, extracellular * Transport, extracellular * Heme synthesis * Transport, endoplasmic reticular * Transport, endoplasmic reticular * Transport, extracellular * Transport, extracellular * Transport, extracellular
EX_bilirub[e]	Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Transport, endoplasmic reticular * Tryptophan metabolism * Transport, extracellular * Tryptophan metabolism * Transport, endoplasmic reticular * Transport, endoplasmic reticular * Transport, endoplasmic reticular * Transport, extracellular * Transport, extracellular * Transport, extracellular
EX_biocyt[e]	Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Transport, endoplasmic reticular * Tryptophan metabolism * Transport, lysosomal * Heme synthesis * Transport, mitochondrial * Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Transport, extracellular
EX_bvite[e]	Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Transport, endoplasmic reticular * Transport, lysosomal * Tryptophan metabolism * Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Transport, extracellular * Transport, extracellular
EX_camp[e]	Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Heme synthesis * Transport, extracellular * Transport, lysosomal * Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Transport, extracellular
EX_caro[e]	Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Heme synthesis * Transport, extracellular * Transport, endoplasmic reticular * Transport, lysosomal * Transport, extracellular * Transport, extracellular * Transport, extracellular
EX_carveol[e]	Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Heme synthesis * Transport, extracellular * Transport, endoplasmic reticular * Transport, lysosomal * Transport, extracellular * Transport, lysosomal * Transport, extracellular * Transport, extracellular * Transport, extracellular * Transport, extracellular
EX_chol[e]	Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Heme synthesis * Tryptophan metabolism * Transport, lysosomal * Transport, extracellular * Transport, extracellular * Transport, extracellular * Transport, extracellular
EX_cholate[e]	Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Heme synthesis * Tryptophan metabolism * Transport, lysosomal * Transport, extracellular * Transport, extracellular * Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Transport, extracellular * Transport, extracellular
EX_chsterol[e]	Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Heme synthesis * Tryptophan metabolism * Transport, lysosomal * Transport, mitochondrial * Transport, extracellular * Transport, endoplasmic reticular * Transport, lysosomal * Transport, extracellular * Transport, extracellular * Transport, extracellular * Transport, extracellular
EX_chtn[e]	Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Heme synthesis * Tryptophan metabolism * Transport, mitochondrial * Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Transport, extracellular
EX_clpnd[e]	Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Heme synthesis * Transport, extracellular * Transport, mitochondrial * Transport, mitochondrial * Transport, lysosomal * Transport, extracellular * Transport, extracellular * Transport, extracellular
EX_cmp[e]	Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Heme synthesis * Transport, lysosomal * Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Transport, extracellular
EX_co[e]	Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Heme synthesis * Transport, lysosomal * Transport, extracellular * Transport, extracellular * Transport, extracellular
EX_coumarin[e]	Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Heme synthesis * Transport, lysosomal * Transport, endoplasmic reticular * Transport, lysosomal * Transport, extracellular * Transport, endoplasmic reticular * Tryptophan metabolism * Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Transport, extracellular
EX_creat[e]	Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Heme synthesis * Transport, endoplasmic reticular * Transport, extracellular * Transport, extracellular * Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Transport, extracellular
EX_crmp_hs[e]	Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Heme synthesis * Transport, endoplasmic reticular * Transport, lysosomal * Transport, mitochondrial * Transport, extracellular * Tryptophan metabolism * Transport, lysosomal * Transport, extracellular * Transport, extracellular * Transport, extracellular
EX_crn[e]	Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Heme synthesis * Transport, endoplasmic reticular * Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Transport, extracellular
EX_crtsl[e]	Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Heme synthesis * Transport, endoplasmic reticular * Transport, mitochondrial * Transport, lysosomal * Transport, extracellular * Transport, extracellular * Transport, extracellular * Transport, extracellular
EX_crtstrn[e]	Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Heme synthesis * Transport, endoplasmic reticular * Transport, mitochondrial * Transport, lysosomal * Transport, mitochondrial * Transport, endoplasmic reticular * Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Transport, extracellular
EX_crvnc[e]	Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Heme synthesis * Transport, endoplasmic reticular * Transport, lysosomal * Transport, mitochondrial * Heme synthesis * Transport, extracellular * Transport, extracellular * Transport, extracellular
EX_cspg_a[e]	Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Heme synthesis * Transport, lysosomal * Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Transport, extracellular * Transport, extracellular * Transport, extracellular * Transport, extracellular
EX_cspg_b[e]	Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Heme synthesis * Transport, lysosomal * Transport, mitochondrial * Transport, extracellular * Transport, extracellular * Transport, endoplasmic reticular * Transport, extracellular * Transport, extracellular * Transport, extracellular
