,rxn ID,subSystem
18,24_25DHVITD2tm,"['Tyrosine metabolism', 'Valine, leucine, and isoleucine metabolism', 'Transport, extracellular', 'Tyrosine metabolism', 'Transport, mitochondrial', 'Tyrosine metabolism', 'Methionine and cysteine metabolism', 'Transport, extracellular', 'Methionine and cysteine metabolism', 'Tyrosine metabolism', 'Tyrosine metabolism', 'Tyrosine metabolism', 'Transport, mitochondrial', 'Transport, lysosomal']"
19,24_25DHVITD3t,"['Tyrosine metabolism', 'Valine, leucine, and isoleucine metabolism', 'Transport, extracellular', 'Tyrosine metabolism', 'Transport, mitochondrial', 'Tyrosine metabolism', 'Methionine and cysteine metabolism', 'Transport, extracellular', 'Methionine and cysteine metabolism', 'Tyrosine metabolism', 'Tyrosine metabolism', 'Transport, nuclear', 'Transport, mitochondrial']"
20,24_25DHVITD3tm,"['Tyrosine metabolism', 'Valine, leucine, and isoleucine metabolism', 'Transport, extracellular', 'Tyrosine metabolism', 'Transport, mitochondrial', 'Tyrosine metabolism', 'Methionine and cysteine metabolism', 'Transport, extracellular', 'Methionine and cysteine metabolism', 'Tyrosine metabolism', 'Tyrosine metabolism', 'Transport, nuclear', 'Transport, mitochondrial', 'Transport, lysosomal']"
21,24_25VITD2Hm,"['Tyrosine metabolism', 'Valine, leucine, and isoleucine metabolism', 'Transport, extracellular', 'Tyrosine metabolism', 'Transport, mitochondrial', 'Transport, extracellular', 'Methionine and cysteine metabolism', 'Tyrosine metabolism', 'Tyrosine metabolism', 'Tyrosine metabolism', 'Methionine and cysteine metabolism', 'Transport, lysosomal']"
22,24_25VITD3Hm,"['Tyrosine metabolism', 'Valine, leucine, and isoleucine metabolism', 'Transport, extracellular', 'Tyrosine metabolism', 'Transport, mitochondrial', 'Transport, extracellular', 'Methionine and cysteine metabolism', 'Tyrosine metabolism', 'Tyrosine metabolism', 'Transport, nuclear', 'Methionine and cysteine metabolism', 'Transport, lysosomal']"
23,24NPHte,"['Tyrosine metabolism', 'Valine, leucine, and isoleucine metabolism', 'Tyrosine metabolism', 'Ubiquinone synthesis', 'Methionine and cysteine metabolism', 'Transport, mitochondrial', 'Transport, extracellular']"
24,25HVITD2t,"['Tyrosine metabolism', 'Transport, mitochondrial', 'Methionine and cysteine metabolism', 'Transport, extracellular', 'Methionine and cysteine metabolism', 'Tyrosine metabolism', 'Tyrosine metabolism', 'Tyrosine metabolism', 'Transport, mitochondrial']"
25,25HVITD2tin_m,"['Tyrosine metabolism', 'Transport, mitochondrial', 'Methionine and cysteine metabolism', 'Transport, extracellular', 'Methionine and cysteine metabolism', 'Tyrosine metabolism', 'Tyrosine metabolism', 'Tyrosine metabolism', 'Transport, mitochondrial', 'Tryptophan metabolism', 'Transport, mitochondrial', 'Transport, extracellular', 'Transport, lysosomal']"
26,25HVITD3t,"['Tyrosine metabolism', 'Transport, mitochondrial', 'Methionine and cysteine metabolism', 'Transport, extracellular', 'Methionine and cysteine metabolism', 'Tyrosine metabolism', 'Tyrosine metabolism', 'Transport, nuclear', 'Transport, mitochondrial']"
27,25HVITD3tin_m,"['Tyrosine metabolism', 'Transport, mitochondrial', 'Methionine and cysteine metabolism', 'Transport, extracellular', 'Methionine and cysteine metabolism', 'Tyrosine metabolism', 'Tyrosine metabolism', 'Transport, nuclear', 'Transport, mitochondrial', 'Tryptophan metabolism', 'Transport, mitochondrial', 'Transport, extracellular', 'Transport, lysosomal']"
28,25VITD2Hm,"['Tyrosine metabolism', 'Transport, mitochondrial', 'Transport, extracellular', 'Methionine and cysteine metabolism', 'Tyrosine metabolism', 'Tyrosine metabolism', 'Tyrosine metabolism', 'Methionine and cysteine metabolism', 'Transport, lysosomal']"
29,25VITD3Hm,"['Tyrosine metabolism', 'Transport, mitochondrial', 'Transport, extracellular', 'Methionine and cysteine metabolism', 'Tyrosine metabolism', 'Tyrosine metabolism', 'Transport, nuclear', 'Methionine and cysteine metabolism', 'Transport, lysosomal']"
30,2AMACHYD,"['Tyrosine metabolism', 'Transport, mitochondrial', 'Tyrosine metabolism', 'Transport, mitochondrial', 'Tyrosine metabolism', 'Methionine and cysteine metabolism', 'Transport, extracellular', 'Tyrosine metabolism']"
31,2AMACSULT,"['Tyrosine metabolism', 'Transport, mitochondrial', 'Tyrosine metabolism', 'Transport, mitochondrial', 'Tyrosine metabolism', 'Arginine and proline metabolism', 'Transport, mitochondrial', 'Tyrosine metabolism', 'Tyrosine metabolism']"
32,2AMADPTm,"['Tyrosine metabolism', 'Transport, mitochondrial', 'Tyrosine metabolism', 'Transport, mitochondrial', 'Tyrosine metabolism', 'Ubiquinone synthesis', 'Tyrosine metabolism', 'Transport, lysosomal']"
33,2DR1PP,"['Tyrosine metabolism', 'Tyrosine metabolism', 'Transport, extracellular', 'Ubiquinone synthesis', 'Ubiquinone synthesis', 'Ubiquinone synthesis']"
34,2HBO,"['Tyrosine metabolism', 'Methionine and cysteine metabolism', 'Tyrosine metabolism', 'Transport, mitochondrial']"
35,2HBt2,"['Tyrosine metabolism', 'Methionine and cysteine metabolism', 'Tyrosine metabolism', 'Transport, mitochondrial', 'Tyrosine metabolism']"
36,2HCO3_NAt,"['Tyrosine metabolism', 'Methionine and cysteine metabolism', 'Tyrosine metabolism', 'Transport, mitochondrial', 'Transport, nuclear', 'Transport, extracellular', 'Tyrosine metabolism', 'Transport, mitochondrial', 'Transport, mitochondrial']"
37,2MCITt,"['Tyrosine metabolism', 'Tyrosine metabolism', 'Tyrosine metabolism', 'Methionine and cysteine metabolism', 'Tyrosine metabolism', 'Transport, mitochondrial']"
